rn,SQLDATE,MonthYear,EventCode,SOURCEURL,IsRootEvent,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,NumMentions,NumSources,NumArticles
16098,20181017,201810,040,http://www.hermistonherald.com/hh/local-news/20181016/hermiston-history-spanish-influenza-halts-all-public-gatherings,1,SCHOOL,,UNITED STATES,USA,4,1,4
16099,20181010,201810,040,http://www.hermistonherald.com/hh/local-news/20181016/hermiston-history-spanish-influenza-halts-all-public-gatherings,1,UNITED STATES,USA,SCHOOL,,4,1,4
16100,20181010,201810,040,http://www.hermistonherald.com/hh/local-news/20181016/hermiston-history-spanish-influenza-halts-all-public-gatherings,1,SCHOOL,,,,1,1,1
16101,20181010,201810,040,http://www.hermistonherald.com/hh/local-news/20181016/hermiston-history-spanish-influenza-halts-all-public-gatherings,1,,,SCHOOL,,1,1,1
16102,20181017,201810,040,http://www.hermistonherald.com/hh/local-news/20181016/hermiston-history-spanish-influenza-halts-all-public-gatherings,1,,,SCHOOL,,1,1,1
16103,20181017,201810,040,http://www.hermistonherald.com/hh/local-news/20181016/hermiston-history-spanish-influenza-halts-all-public-gatherings,1,SCHOOL,,,,1,1,1
16104,20181005,201810,040,http://www.hoylaredo.net/destacado/dispondra-tamaulipas-de-470-mil-vacunas-anti-influenza-secretaria-de-salud/,1,,,WORLD HEALTH ORGANIZATION,,10,1,10
16105,20181005,201810,040,http://www.hoylaredo.net/destacado/dispondra-tamaulipas-de-470-mil-vacunas-anti-influenza-secretaria-de-salud/,1,WORLD HEALTH ORGANIZATION,,,,10,1,10
16106,20181016,201810,040,http://www.ip-watch.org/2018/10/23/members-consider-possible-changes-influenza-pandemic-framework/,1,WORLD HEALTH ORGANIZATION,,,,10,1,10
16107,20181030,201810,040,https://denver.cbslocal.com/2018/10/30/flu-vaccine-shot-influenza/,1,UNITED STATES,USA,,,2,1,2
16108,20181030,201810,040,https://denver.cbslocal.com/2018/10/30/flu-vaccine-shot-influenza/,1,UNITED STATES,USA,,,2,1,2
